sexo;IdadeAtual;Servidor;Tempo;NaturalidadeCidade
M;73,00;D;47,00;RIBEIRAO PRETO
F;73,00;TA;50,00;JUIZ DE FORA
M;73,00;D;50,00;CARMO DO PARANAIBA
M;73,00;D;49,00;CARMO DO PARANAIBA
M;73,00;D;48,00;VICOSA
M;74,00;TA;52,00;VIÇOSA
M;74,00;D;51,00;ITAGUAÇU
F;74,00;TA;54,00;PRESIDENTE BERNARDES
M;74,00;D;51,00;CAJURI
M;74,00;TA;38,00;NAO INFORMADO
M;74,00;TA;39,00;PORTO FIRME
M;75,00;EBTT;48,00;SANTO ANTONIO DE LEVERGER
F;75,00;D;45,00;SABANALARGA
M;75,00;TA;41,00;CAPINOPOLIS
M;75,00;D;43,00;RIO DE JANEIRO
M;75,00;TA;56,00;UBA
M;75,00;TA;51,00;VICOSA
M;75,00;D;54,00;VICOSA
M;77,00;TA;35,00;OURO PRETO
